ID,USER_GROUP_ID,NAME,DESCRIPTION,PLACE,DAY,INTERVAL
1,2,Иностранный язык,Мельникова О.К.,1302,MONDAY,I_08_30_10_00
2,3,Иностранный язык,Мартынова Е.В.,1303,MONDAY,I_08_30_10_00
3,4,Иностранный язык,Переточкина С.М.,1304,MONDAY,I_08_30_10_00
4,5,Иностранный язык,Баранова А.Р.,1305,MONDAY,I_08_30_10_00
5,6,Иностранный язык,Яхин М.А.,1409,MONDAY,I_08_30_10_00
6,30,Иностранный язык,Махмутова А.Н.,1408,MONDAY,I_08_30_10_00
7,31,Иностранный язык,Саляхова Г.И.,1404,MONDAY,I_08_30_10_00
8,32,Иностранный язык,Ситдикова Ф.Б.,1509,MONDAY,I_08_30_10_00
9,2,Иностранный язык,Мельникова О.К.,1302,TUESDAY,I_08_30_10_00
10,3,Иностранный язык,Мартынова Е.В.,1303,TUESDAY,I_08_30_10_00
11,4,Иностранный язык,Переточкина С.М.,1304,TUESDAY,I_08_30_10_00
12,5,Иностранный язык,Баранова А.Р.,1305,TUESDAY,I_08_30_10_00
13,6,Иностранный язык,Яхин М.А.,1409,TUESDAY,I_08_30_10_00
14,30,Иностранный язык,Махмутова А.Н.,1408,TUESDAY,I_08_30_10_00
15,31,Иностранный язык,Саляхова Г.И.,1404,TUESDAY,I_08_30_10_00
16,32,Иностранный язык,Ситдикова Ф.Б.,1509,TUESDAY,I_08_30_10_00
17,32,Алгебра и геометрия,Арсланов М.М.,109,MONDAY,I_10_10_11_40
18,2,Алгоритмы и структуры данных,Абрамский М.М.,1301,MONDAY,I_11_50_13_20
19,3,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
20,4,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
21,5,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
22,6,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
23,30,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
24,31,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
25,32,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
26,2,Элективные курсы по физической культуре,,УНИКС,MONDAY,I_13_35_15_05
27,2,Иностранный язык,Мельникова О.К.,1302,TUESDAY,I_08_30_10_00
28,2,Дискретная математика,Корнеева Н.Н.,1306,TUESDAY,I_10_10_11_40
29,2,Информатика,Абрамский М.М.,1301,TUESDAY,I_11_50_13_20
30,2,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
31,3,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
32,4,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
33,5,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
34,6,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
35,30,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
36,31,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
37,32,Математический анализ,Широкова Е.А.,109,WEDNESDAY,I_10_10_11_40
38,2,Математический анализ,Муллагалиев Э.А.,1301,WEDNESDAY,I_11_50_13_20
39,2,Русский язык и культура речи,Нуруллина Г.М.,1302,WEDNESDAY,I_13_35_15_05
40,2,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
41,3,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
42,4,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
43,5,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
44,6,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
45,30,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
46,31,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
47,32,Элективные курсы по физической культуре,,УНИКС,THURSDAY,I_10_10_11_40
48,2,Алгебра и геометрия,Малюгина А.А.,1405,THURSDAY,I_11_50_13_20
49,2,Информатика,Абрамский М.М.,1301,THURSDAY,I_13_35_15_05
50,2,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
51,3,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
52,4,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
53,5,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
54,6,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
55,30,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
56,31,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
57,32,Алгоритмы и структуры данных,Салимов Ф.И.,108,THURSDAY,I_15_20_16_50
58,2,Иностранный язык,Мельникова О.К.,1302,FRIDAY,I_08_30_10_00
59,2,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
60,3,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
61,4,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
62,5,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
63,6,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
64,30,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
65,31,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
66,32,Дискретная математика,Корнеева Н.Н.,108,FRIDAY,I_10_10_11_40
